,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_GATA2,4_KIT,5_NPM1,6_chr6,7_EZH2,9_JAK2,10_chr10,11_WT1,12_KRAS,12_PTPN11,13_FLT3,14_chr14,15_IDH2,16_chr16,17_TP53,17_SRSF2,18_chr18,20_ASXL1,21_RUNX1,21_U2AF1
0,46,18,46,51,20,20,13,64,23,13,32,28,63,41,81,12,42,25,90,2,12,5,54,36
1,63,29,129,72,13,103,8,169,105,35,67,102,64,54,269,37,69,76,185,4,43,78,78,112
2,157,68,240,125,55,128,58,249,173,25,134,147,130,139,463,27,91,108,308,17,56,197,235,164
3,57,19,101,60,3,50,7,137,41,12,46,54,50,30,163,31,47,32,114,2,16,65,125,96
4,81,23,88,33,11,58,32,112,57,18,70,50,69,48,140,20,36,78,80,12,16,47,66,58
5,60,23,83,37,10,13,33,81,60,19,53,30,46,26,137,14,31,53,61,2,21,35,49,36
6,103,33,62,56,17,76,58,105,87,9,93,117,77,54,231,39,48,77,95,8,12,62,73,26
7,114,63,187,86,39,105,34,120,141,32,149,153,113,54,301,35,82,117,164,8,59,60,170,142
8,40,22,145,58,15,49,4,95,38,12,71,48,64,44,149,21,51,35,158,10,17,81,69,107
9,56,6,133,56,7,25,6,58,61,9,30,81,38,33,175,10,20,14,62,0,15,48,49,60
10,137,32,126,38,24,86,17,148,111,9,75,110,121,73,278,40,80,54,159,12,46,108,58,110
11,43,39,48,38,13,48,2,95,39,3,32,24,68,35,98,19,36,30,101,0,12,43,57,58
12,109,30,147,85,19,110,55,147,139,67,109,171,129,49,274,25,54,84,158,2,20,91,171,89
13,83,26,59,12,11,50,23,76,52,18,55,89,54,34,145,13,17,84,58,8,26,34,52,58
14,120,59,142,73,21,127,90,147,87,38,148,165,104,75,281,32,49,118,145,34,51,108,140,136
15,36,12,49,28,5,21,9,49,37,2,19,42,15,16,101,10,20,39,55,4,11,15,12,50
16,58,22,76,26,17,58,15,64,49,8,55,59,71,39,111,14,27,34,74,0,29,54,38,34
17,62,43,146,37,7,62,23,127,58,25,80,96,83,56,213,34,21,84,92,14,27,94,106,92
18,103,39,88,41,27,63,71,136,57,31,117,109,73,64,193,31,53,101,101,8,31,39,131,60
19,64,30,140,48,33,70,18,148,89,33,55,94,94,57,236,30,46,68,207,18,14,32,45,74
20,143,71,184,98,23,122,29,278,138,63,210,185,148,88,373,55,53,111,200,53,47,145,234,126
21,134,43,118,106,26,88,14,77,61,22,113,115,94,88,276,29,46,46,197,0,56,109,111,144
22,41,6,97,45,7,15,4,74,54,15,34,56,27,25,138,14,23,23,128,4,6,61,22,76
23,47,15,53,30,4,29,1,42,40,2,28,27,30,31,124,15,32,31,70,1,12,42,5,43
24,26,13,76,31,8,25,27,50,51,17,44,78,66,17,127,11,15,46,75,8,27,37,47,58
25,68,14,107,42,17,56,38,96,55,15,65,63,88,31,128,22,34,72,72,0,24,66,48,48
26,93,27,79,54,11,49,32,104,72,20,74,85,74,38,158,0,35,47,115,4,26,37,114,54
27,99,21,160,52,10,68,5,153,69,11,78,95,76,54,241,8,51,29,239,6,17,78,105,92
28,119,78,186,95,40,134,60,106,128,28,165,158,150,92,342,42,69,140,193,28,53,98,235,82
29,92,50,124,31,33,81,60,125,100,26,109,119,113,26,259,24,53,114,151,2,51,73,76,100
30,27,8,68,34,11,25,6,51,26,12,34,69,18,30,106,8,25,30,68,2,13,46,26,17
31,110,34,77,57,8,72,70,142,51,26,101,104,91,48,128,10,39,96,98,8,33,65,91,41
32,76,22,165,61,38,35,10,79,70,7,73,71,60,101,164,12,81,41,246,16,21,103,86,66
33,69,41,102,54,17,60,50,96,98,4,84,102,60,51,154,28,42,80,127,19,35,55,33,61
34,57,4,171,51,9,65,1,92,24,13,54,31,43,64,142,37,22,19,169,4,18,57,33,69
35,119,51,209,74,25,89,48,179,109,45,109,142,133,73,299,30,57,149,178,0,52,108,121,133
36,61,22,62,79,9,74,14,162,51,15,71,59,78,44,169,5,23,62,95,6,22,68,80,72
37,39,16,127,39,7,62,49,76,69,50,67,52,71,41,146,14,29,52,103,2,26,65,73,77
38,50,14,139,50,10,50,16,122,61,11,67,60,63,47,171,0,29,35,141,8,21,47,89,53
39,67,6,71,37,5,56,14,74,54,11,75,56,54,31,134,18,26,50,93,0,21,58,57,93
40,104,25,163,85,15,84,66,120,100,56,72,118,95,45,245,24,79,36,150,6,23,69,63,92
41,57,10,121,58,29,60,20,84,44,15,40,73,88,33,208,20,60,65,134,5,43,31,98,82
42,46,21,80,62,9,48,10,97,59,4,29,37,54,28,187,19,44,40,89,2,30,50,36,44
43,92,22,92,47,13,16,14,86,64,10,44,76,54,57,155,11,30,56,98,0,18,42,8,17
44,76,39,146,76,22,75,35,104,77,20,78,60,91,55,180,17,45,40,162,6,31,44,104,56
45,61,34,113,61,11,64,27,135,78,33,87,78,73,47,188,23,41,49,144,17,37,64,124,79
46,100,42,107,61,18,86,60,108,108,16,109,123,121,68,230,36,61,84,154,6,38,56,111,123
47,86,37,153,71,30,80,11,115,58,3,79,74,102,32,204,17,42,35,126,0,34,78,85,100
48,60,34,145,59,10,71,18,101,104,48,61,92,92,45,236,19,43,50,136,0,40,64,128,85
49,61,27,76,41,13,54,53,71,72,20,71,80,81,41,152,10,35,54,91,14,34,47,70,51
50,70,32,111,55,33,61,5,79,80,17,59,92,72,55,230,25,44,36,111,0,19,73,66,79
51,99,40,136,76,16,74,18,125,89,29,82,58,114,63,256,28,41,60,116,14,44,69,76,96
52,68,27,91,48,7,49,52,110,71,14,102,73,59,25,114,30,30,80,46,6,26,47,24,58
53,79,11,69,39,16,33,5,111,51,23,77,46,63,56,183,15,33,32,83,4,37,71,79,93
54,82,36,143,61,23,95,41,175,59,51,95,102,121,61,207,25,45,88,122,12,37,70,86,93
55,60,34,130,50,21,65,38,71,52,28,68,71,74,55,209,25,33,65,229,6,37,44,52,75
56,149,43,135,113,19,128,37,209,99,17,99,95,149,106,348,44,66,90,181,0,37,122,87,114
57,72,28,158,51,16,89,7,142,56,22,75,83,70,46,225,11,31,39,149,6,11,59,86,121
58,26,17,45,15,8,35,15,68,46,3,39,24,39,4,72,11,21,54,55,6,13,28,18,25
59,111,22,157,76,4,102,39,188,70,45,89,108,113,45,233,29,54,54,175,8,31,86,88,116
60,103,32,183,76,23,15,5,104,46,2,57,87,20,30,140,13,83,47,295,2,37,59,104,107
61,119,42,165,92,9,103,16,200,124,43,138,106,126,109,329,30,73,74,199,14,47,119,179,119
62,105,57,152,87,21,36,18,68,152,5,82,108,41,53,235,23,64,52,134,8,42,75,111,113
63,60,41,170,66,16,61,38,122,62,7,78,94,5,63,285,0,65,36,206,12,28,68,56,146
64,55,22,73,33,18,42,39,85,82,3,62,66,79,54,128,20,27,65,72,4,22,45,63,64
65,88,21,108,61,17,57,37,120,79,29,67,70,104,41,220,18,43,68,125,4,27,63,45,86
66,79,28,106,57,7,72,36,96,59,27,93,58,66,43,186,17,39,19,116,8,17,54,105,65
67,66,37,89,53,11,67,35,106,75,13,95,63,86,21,178,10,38,53,94,6,35,33,87,73
68,55,38,88,18,10,48,13,86,68,14,35,61,74,37,125,15,32,78,65,10,22,15,45,71
69,59,22,77,35,8,56,49,64,48,19,69,61,77,27,126,11,30,41,78,0,24,57,91,35
70,53,5,118,48,9,39,2,83,30,11,44,49,17,36,123,18,26,15,96,0,17,40,48,90
71,36,29,41,22,10,26,42,43,60,0,49,55,33,40,120,5,27,69,58,10,17,30,32,32
72,64,28,120,51,0,89,38,112,92,27,97,64,62,61,193,18,35,71,120,16,36,43,74,78
73,43,11,79,25,8,53,21,83,60,33,40,84,56,29,168,9,26,34,70,0,12,47,41,47
74,162,49,222,98,34,91,12,189,87,8,118,112,106,110,347,26,99,68,224,16,46,49,102,141
75,95,27,100,57,9,57,53,117,66,7,70,58,69,24,150,20,24,57,48,2,35,37,49,42
