,1_CSF3R,1_MPL,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_MYD88,3_GATA2,4_KIT,4_TET2,5_NPM1,7_BRAF,7_EZH2,8_RAD21,8_MYC,9_JAK2,10_PTEN,10_SMC3,11_WT1,11_ATM,11_KMT2A,11_CBL,12_ETV6,12_KRAS,12_PTPN11,13_FLT3,15_IDH2,17_TP53,17_NF1,17_STAT3,17_PPM1D,18_SETBP1,19_CALR,20_ASXL1,20_GNAS,21_RUNX1,21_ERG,21_U2AF1,22_CHEK2,X_ZRSR2,X_BCOR,X_KDM6A,X_SMC1A,X_STAG2,X_PHF6
0,1661,40,1105,9278,2132,679,1128,778,4765,10351,540,6077,13709,3334,2227,469,1181,2856,1757,1622,8625,1465,3801,1918,2065,3440,488,5022,15109,124,1663,2706,269,3685,625,2765,1339,1277,642,2421,3020,5733,1462,3805,4004
1,629,116,202,2684,903,166,210,108,1113,2294,83,1478,3696,394,335,123,295,707,554,467,2061,362,863,584,589,455,122,1225,3984,40,361,840,147,1025,2,496,397,359,148,1029,52,1274,32,1024,948
2,853,0,219,4122,708,138,573,216,1472,4128,217,1105,4646,506,942,130,456,878,474,515,1834,309,1099,753,892,1308,150,2130,2038,7,342,1007,46,655,295,883,457,639,167,1128,2107,1558,241,1642,1238
3,1216,140,607,5174,1370,270,435,233,2696,4990,558,3220,6854,1577,1356,293,799,1112,963,833,5314,629,1846,749,1117,1326,297,2834,7359,56,924,1353,68,1771,344,1114,840,1354,356,1776,3962,3237,682,2162,2562
4,529,2,263,2590,606,97,508,5,1490,3345,111,1536,3939,309,568,243,141,525,510,337,1966,283,481,415,465,687,134,545,4239,32,451,853,110,1163,99,595,435,760,246,660,1328,1379,456,1319,931
5,634,0,94,2071,625,52,19,122,498,860,2,599,3108,624,515,81,104,136,300,111,1832,80,617,95,247,757,66,172,2053,27,163,619,42,509,29,318,160,476,62,875,1197,161,191,859,207
6,335,197,272,3612,1062,176,390,18,825,3483,183,1782,1602,870,806,89,119,801,336,484,1629,340,455,28,704,912,0,788,4658,50,86,806,172,1295,91,536,254,555,117,1431,1978,1741,551,1685,619
7,914,88,286,1963,1267,260,492,183,1986,4347,172,2398,5345,834,774,177,387,625,868,334,3796,320,1429,718,545,1107,182,1048,6152,58,259,1093,194,1627,197,609,292,456,179,835,2509,1306,573,1601,991
8,425,0,232,1153,447,89,103,76,410,2165,0,1528,2523,586,392,1,217,664,285,240,867,288,467,340,337,324,27,1003,3113,24,147,531,148,636,137,458,136,351,163,592,1130,499,348,417,917
9,904,23,501,3183,1033,153,469,181,1934,5154,140,2232,4096,977,734,138,460,866,651,542,3750,550,1174,453,967,1311,156,2197,5010,84,494,1036,128,1704,167,921,509,861,321,1359,1657,1713,458,1810,863
10,406,95,219,1102,428,101,123,169,1230,3783,79,1115,3249,788,518,99,131,452,456,209,1941,313,705,556,415,587,91,1349,3403,38,185,554,36,933,68,536,133,410,93,892,1391,885,310,840,812
11,695,0,183,2365,669,45,284,206,1250,2849,126,1974,3616,499,379,269,365,557,341,334,1738,225,669,568,608,973,54,1048,4222,24,281,678,61,621,6,337,208,473,74,797,1344,1274,0,1102,804
12,557,12,346,3424,1078,308,140,123,1569,4991,268,1671,4172,1050,601,89,292,590,608,438,2947,277,1007,516,666,1277,211,1402,4589,31,518,700,122,1243,102,347,553,291,113,868,1823,1973,241,1554,1395
13,1400,1,488,6601,1577,257,836,370,3140,8301,329,4632,8878,1556,871,366,540,1500,1020,705,4634,798,1949,890,1320,2323,314,3395,8500,80,759,1752,216,2952,393,1353,723,1025,443,1840,3771,3562,634,2698,2539
14,2123,221,668,8373,2344,634,739,308,3519,11119,353,5419,8823,1798,1455,502,592,1526,1653,983,5703,674,2590,1493,1607,2561,244,2679,10779,60,701,1753,46,3242,482,2236,1307,639,806,1771,3461,3123,949,2242,1553
15,976,101,410,4712,1178,74,531,239,1100,4782,474,2619,4381,1358,1361,144,424,1072,831,301,3589,523,1462,732,743,1882,202,2322,6621,79,717,1063,176,1583,322,1212,570,387,103,1593,287,2385,94,1719,1744
16,906,0,196,4545,1002,182,168,167,1914,2802,404,2716,4126,1147,856,91,307,1286,863,751,3835,143,1085,698,159,934,146,1677,4108,10,375,1049,38,1628,171,547,622,885,3,948,27,1609,143,1176,999
17,415,102,127,1753,696,78,239,31,761,2216,114,1962,3241,705,253,123,269,96,418,237,2187,269,697,169,301,670,139,1034,2698,28,85,496,69,963,45,430,267,230,191,583,1107,1187,247,1045,786
18,1121,264,383,3844,1058,382,571,133,1801,6289,397,2827,5810,1349,1092,470,582,896,1117,808,4590,525,1942,324,1185,1521,297,2048,5560,47,774,1038,40,2198,425,1251,769,790,386,2169,2487,1872,463,1539,784
19,401,3,161,123,220,72,171,17,626,1026,36,1034,1089,82,217,35,31,300,293,184,931,136,466,399,275,366,5,500,1769,10,130,331,22,0,64,280,216,308,52,446,205,682,3,341,569
20,310,65,83,1642,673,31,116,68,609,1764,182,1131,1054,454,430,94,171,171,249,249,1652,136,402,348,390,386,22,1071,2467,12,286,232,46,641,86,187,212,405,86,493,1154,653,154,656,574
21,133,12,59,853,291,84,40,41,513,1187,125,745,1004,240,79,50,90,183,99,83,484,140,303,120,175,237,63,469,1302,8,2,225,0,240,28,197,57,174,24,247,494,533,99,72,491
22,379,87,241,1205,333,2,125,64,353,1904,23,1408,1677,138,186,106,144,270,202,214,1195,131,586,190,285,498,99,603,2526,27,292,258,39,740,114,366,423,312,259,661,909,852,212,790,371
23,781,0,323,4457,853,260,260,110,2349,4143,262,1947,5695,1131,441,157,344,546,276,552,3751,289,1507,853,831,1176,177,1977,6065,68,321,1249,190,1298,151,922,471,698,316,1337,2441,1072,560,1478,1429
24,307,8,71,1155,319,15,142,119,515,1667,46,772,665,291,262,44,106,194,201,74,800,41,313,219,190,257,44,331,1572,27,129,382,117,361,52,254,126,108,65,338,600,695,65,429,12
25,253,18,229,1476,323,13,84,36,372,2243,39,1073,2425,566,472,35,219,373,464,251,1658,186,792,157,476,549,46,410,2672,15,94,593,94,466,143,625,467,325,154,468,990,1186,114,522,650
26,291,114,152,1439,646,42,116,72,517,1803,191,1235,1404,229,224,52,34,328,369,504,962,186,431,252,192,773,45,437,2613,23,52,539,52,378,4,264,287,384,63,452,1120,1272,134,526,625
27,213,19,270,976,135,52,237,0,1159,3016,193,1427,3074,936,350,39,354,341,350,578,2479,276,399,391,306,767,98,1257,2178,7,403,654,290,1034,139,574,560,508,83,825,1398,1347,253,915,817
28,246,20,203,1326,332,66,197,0,810,2172,248,1133,2177,522,301,38,70,410,385,327,1896,267,333,334,467,541,90,960,2443,33,174,348,98,576,94,402,330,441,150,638,862,571,309,718,794
